323872828_12bdcecd12.jpg#0	Di sisi kiri terdapat meja berbentuk persegi berwarna coklat dari kayu .
323872828_12bdcecd12.jpg#1	Di depan terdapat jendela dari kaca berbentuk persegi berwarna putih .
323872828_12bdcecd12.jpg#2	Di sisi kanan terdapat sofa single berwarna merah .
323872828_12bdcecd12.jpg#3	Di sisi kanan terdapat tempat tidur berbentuk segi empat dengan selimut berwarna putih di atasnya .
323872828_12bdcecd12.jpg#4	Di sisi kiri terdapat lampu dengan bentuk kubus berwarna putih tergantung .
335451409_1ba783a56d.jpg#0	Di sisi kiri atas terdapat lukisan abstrak dengan bentuk persegi panjang tergantung .
335451409_1ba783a56d.jpg#1	Di sisi kiri terdapat sofa panjang berwarna putih dengan bantal berwarna hijau sage dan kucing berwarna cream di atasnya .
335451409_1ba783a56d.jpg#2	Di sisi kanan terdapat bantal berwarna hijau .
335451409_1ba783a56d.jpg#3	Di sisi kanan terdapat lampu tidur berwarna putih yang terletak di atas meja kayu .
335451409_1ba783a56d.jpg#4	Di sisi kanan terdapat foto keluarga berbentuk persegi panjang dengan bingkai berwarna putih .
370076959_7230dfc7ec.jpg#0	Di sisi kanan bawah terdapat lampu berwarna putih dengan bentuk persegi panjang .
370076959_7230dfc7ec.jpg#1	Di sisi kiri terdapat meja dari kayu dengan bentuk persegi panjang berwarna coklat dengan keranjang buah yang terbuat dari kayu berwarna hitam yang berisi beberapa buah apel .
370076959_7230dfc7ec.jpg#2	Di sisi kanan atas terdapat lukisan abstrak dengan bentuk persegi panjang tergantung .
370076959_7230dfc7ec.jpg#3	Di sisi kanan meja terdapat rak dari kayu dengan bentuk persegi panjang berwarna coklat dengan vas bunga dan toples di atasnya .
370076959_7230dfc7ec.jpg#4	Di depan atas terdapat lampu gantung berwarna putih tergantung .
456098693_96d9e17ed4.jpg#0	Di sisi kiri bawah terdapat karpet lantai bulu berwarna hitam putih dengan corak zebra .
456098693_96d9e17ed4.jpg#1	Di sisi kanan terdapat meja kecil berbentuk bulat berwarna hitam putih dengan corak shepherd's check yang di atasnya terdapat sebuah buku berwarna hijau dan lampu tidur berwarna merah .
456098693_96d9e17ed4.jpg#2	Di sisi kanan terdapat tempat tidur berbentuk segi empat berwarna putih dengan tirai berwarna putih yang tergantung di sampingnya .
