000000000333.jpg#0	Terdapat tiga buah bantal yang bercorak diatas sofa yang berwarna merah hati .
000000000333.jpg#1	Di sudut ruangan terdapat sebuah lampu yang bentuknya menyerupai tumbuhan .
000000000333.jpg#2	Terdapat dua buah lukisan yang terpajang dan satu buah lukisan yang bersandar di diding .
000000000333.jpg#3	Di sisi kanan sofa terdapat sebuah meja kecil yang terdapat gelas dan mangkuk diatasnya .
000000000333.jpg#4	Di sudut ruangan terdapat sebuah pemanas ruangan yang berwarna biru tua menyerupai dinding dibelakangnya .
000000000555.jpg#0	Di depan terdapat dua buah sofa yang memiliki warna garis putih biru .
000000000555.jpg#1	Di sisi kiri terdapat sebuah rak buku yang terisi penuh dengan berbagi macam buku .
000000000555.jpg#2	Di antara kursi terdapat sebuat meja kayu dengan lampu yang menyala diatasnya. 
000000000555.jpg#3	Di dinding terdapat sebuah lukisan dengan gambar mercusuar didalamnya dan memiliki bingkai yang berwarna hitam .
000000000555.jpg#4	Terdapat sebuah kandelar yang terbuat dari kaca menggantung di langit-langit ruangan .
000000055528.jpg#0	Terdapat seorang pria berkacamata yang sedang duduk di sofa seraya memegang sebuah sikat gigi dan tas kertas .
000000055528.jpg#1	Di sisi kanan terdapat meja kayu dengan dua buah remot televisi yang berwarna hitam dan abu-abu .
000000055528.jpg#2	Di depan terdapat seorang yang mengenakan kaus polo bermotif kotak-kotak dengan garis berwarna putih .
000000055528.jpg#3	Di sisi kiri terdapat tembok berwarna putih dengan beberapa sakelar lampu yang menempel .
000000055528.jpg#4	Di depan terdapat sebuah sofa yang berwarna abu-abu dengan bahan bludru .
000000024610.jpg#0	Di depan terdapat sebuah rak buku dengan berbagai macam buku didalamnya dan diatasnya terdapat beberapa foto dan alat tulis .
000000024610.jpg#1	Di sisi kiri terdapat sebuah kursi kayu dengan bantal berwarna putih di atasnya dan sebuah meja kayu yang diatasnya terdapat laptop yang sedang menyala dan beberapa buku .
000000024610.jpg#2	Di sisi kanan terdapat sebuah sofa berwarna biru yang diatasnya terdapat tas berwarna krem dan abu-abu dan juga bantal berwarna ungu .
000000024610.jpg#3	Di tengah terdapat sebuah penghangat ruangan berwarna putih dengan kabel yang tercecer di lantai .
000000024610.jpg#4	Terdapat diding berwana putih keabu-abuan dan sebuah hiasan dinding berbentuk seperti bintang berwarna hitam dan juga terdapat beberapa kabel yang menggantung di langit-langit .
000000031248.jpg#0	Di sudut kanan dan kiri terdapat tanaman yang tumbuh tinggi dengan daun yang panjang dan berwarna hijau .
000000031248.jpg#1	Di depan terdapat tiga buah sofa yang berwarna putih keabu-abuan dengan aksen gelombang .
000000031248.jpg#2	Di depan terdapat dua buah meja kayu kecil yang berseberangan diatasnya terdapat lampu berbentuk kerucut dan berwarna putih .
000000031248.jpg#3	Di depan terdapat dua rak buku yang berseberangan berbentuk segi empat berwarna putih dengan banyak buku didalamnya .
000000031248.jpg#4	Di depan tengah terdapat sebuah lukisan dengan latar krem dan bingkai yang berwarna emas .
000000036936.jpg#0	Di depan terdapat pria dan wanita yang sedang duduk di sofa yang berwarna cokelat seraya menonton televisi yang berwarna abu-abu .
000000036936.jpg#1	Di tengah terdapat meja kayu yang berbentuk oval diatasnya terdapat beberapa makanan dan minuman ringan yang belum habis dimakan .
000000036936.jpg#2	Di sisi kiri terdapat bufet kayu yang berisi televisi, pengeras suara, buku, dan piala .
000000036936.jpg#3	Di bawah terdapat lantai bermotifkan kayu berwarna cokelat .
000000036936.jpg#4	Terdapat dinding yang berwarna krem dan tidak ada corak dan hiasan dinding yang menempel .
000000039477.jpg#0	Di sisi kanan atas terdapat dua buah pot bunga berwarna yang terbuat dari kain dan terdapat banyak daun diatasnya .
000000039477.jpg#1	Terdapat  sofa berwarna cokelat dengan sebuah bantal berwarna putih dengan bentuk menyerupai bumerang .
000000039477.jpg#2	Di tengah terdapat sebuah meja kayu berwarna cokelat tua diatasnya terdapat mesin jahit, serbet yang berbentuk kerucut, dan beberapa camilan .
000000039477.jpg#3	Di sisi kiri terdapat bufet kayu yang berwarna cokelat tua dengan sebuah televisi yang sebagian ditutupi oleh handuk .
000000039477.jpg#4	Di tengah bawah terdapat karpet berbulu yang berwarna krem dengan beberapa pot yang ditumbuhi tanaman dan juga selimut berwarna oranye bercorak dadu diatasnya .
000000060449.jpg#0	Di tengah terdapat meja besi berwarna hitam yang berbentuk bulat diatasya terdapat sebuah laptop, asbak, dan secarik kertas .
000000060449.jpg#1	Di depan terdapat balkon berpagar besi warna hitam yang menghadap ke pantai .
000000060449.jpg#2	Di atas terdapat langit biru dengan kumpulan awan berwarna putih yang menutupi matahari .
000000060449.jpg#3	Didepan terdapat beberapa pepohon yang menjulang tinggi dan daunnya bergerak bergerak tertiup angin .
000000060449.jpg#4	Di bawah terdapat lantai keramik berwarna hitam dan cokelat muda yang basah akibat terkena air hujan .
000000084674.jpg#0	Terdapat seorang ibu berpakaian hitam berambut cokelat yang sedang memangku anaknya yang sedang memakan kue donat .
000000084674.jpg#1	Di sisi kiri terdapat seorang anak laki-laki yang memakai sweter abu-abu seraya menggenggam sebuah buku ditangan kirinya .
000000084674.jpg#2	Di bawah terdapat lantai bermotif kayu berwarna cokelat muda dengan motif serat kayu .
000000084674.jpg#3	Di sudut kiri terdapat bufet televisi kayu berwarna cokelat tua dengan televisi yang masih menyala dan juga beberapa hiasan diatasnya .
000000084674.jpg#4	Di sudut kanan terdapat sebuah jam dinding antik yang terbuat dari kayu yang menunjukkan pukul sepuluh .
000000092091.jpg#0	Terdapat seorang balita perempuan yang memakai gaun berwarna merah muda sedang mamasukkan sebuah sikat kedalam mulutnya .
000000092091.jpg#1	Di sudut kiri terdapat sebuah meja kayu yang diatasnya terdapat televisi tabung yang sedang menyiarkan berita .
000000092091.jpg#2	Di sebelah kiri terdapat jendela berbentuk segi empat dengan tirai berwarna putih  yang dibuka .
000000092091.jpg#3	Di depan terdapat sebuah meja kayu berbentuk persegi panjang dengan sebuah boneka beruang berwarna krem diatasnya .
000000092091.jpg#4	Di depan terdapat sofa berwarna merah hati dengan dua buah bantal bercorak abstrak .
000000101420.jpg#0	Terdapat seekor kucing memakai kalung berwarna kuning yang berada diatas sofa yang tertutup dengan selimut sedang menghadap ke jendela .
000000101420.jpg#1	Terdapat dua buah bantal diatas sofa yang berwarna merah salah satunya berwarna merah putih bermotif bunga dan satu lagi berwarna putih .
000000101420.jpg#2	Di depan terdapat jendela berbentuk segi empat dengan tirai berwarna cokelat yang terbuka ke atas .
000000101420.jpg#3	Di depan terdapat pemandangan halaman yang dipenuhi dengan daun-daun kering yang berguguran dan juga ranting pohon yang sudah kering .
